store,pass,worker,sample,wall_ms
A,1,6,20,654.19
A,1,6,21,625.01
A,1,6,22,834.11
A,1,6,23,594.66
A,1,6,24,549.34
A,1,6,25,683.90
A,1,6,26,678.65
A,1,6,27,738.51
A,1,6,28,585.36
A,1,6,29,791.32
A,1,6,30,601.58
A,1,6,31,591.63
A,1,6,32,576.66
A,1,6,33,802.74
A,1,6,34,588.12
A,1,6,35,730.69
A,1,6,36,675.01
A,1,6,37,749.03
A,1,6,38,639.56
A,1,6,39,637.85
A,1,6,40,588.57
A,1,6,41,574.77
A,1,6,42,593.83
A,1,6,43,621.81
A,1,6,44,520.98
A,1,6,45,758.20
A,1,6,46,599.99
A,1,6,47,578.18
A,1,6,48,552.64
A,1,6,49,630.29
A,1,6,50,605.38
A,1,6,51,599.87
A,1,6,52,632.94
A,1,6,53,598.46
A,1,6,54,588.17
A,1,6,55,390.63
A,1,6,56,709.23
A,1,6,57,659.69
A,1,6,58,636.93
A,1,6,59,602.42
A,1,6,60,722.86
A,1,6,61,717.23
A,1,6,62,553.81
A,1,6,63,688.27
A,1,6,64,637.44
A,1,6,65,570.25
A,1,6,66,663.62
A,1,6,67,518.97
A,1,6,68,601.18
A,1,6,69,582.37
A,1,6,70,702.63
A,1,6,71,451.91
A,1,6,72,598.40
A,1,6,73,563.24
A,1,6,74,686.34
A,1,6,75,475.02
A,1,6,76,567.77
A,1,6,77,583.76
A,1,6,78,558.14
A,1,6,79,579.41
A,1,6,80,599.70
A,1,6,81,597.99
A,1,6,82,406.26
A,1,6,83,513.55
A,1,6,84,575.34
A,1,6,85,570.92
A,1,6,86,541.77
A,1,6,87,552.74
A,1,6,88,440.08
A,1,6,89,582.06
A,1,6,90,537.53
A,1,6,91,592.34
A,1,6,92,524.55
A,1,6,93,492.45
A,1,6,94,589.12
A,1,6,95,469.62
A,1,6,96,600.86
A,1,6,97,619.17
A,1,6,98,586.82
A,1,6,99,563.55
A,1,7,0,793.83
A,1,7,1,846.07
A,1,7,2,792.39
A,1,7,3,829.78
A,1,7,4,796.10
