index,tensor,candidate,shape,ok,max_diff,mean_diff,n_mismatched,cand_min,cand_max,ref_min,ref_max,cand_uniq,ref_uniq
2256248,x_hilda_prior,new,"(1, 256, 256)",True,0.0,0.0,0,0.0,7.0,0.0,7.0,,
2256248,hilda_target,new,"(2, 256, 256)",True,0.0,0.0,0,0.0,7.0,0.0,7.0,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]","[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]"
2256248,x_continuous,preprocessed,"(2, 15, 256, 256)",False,18.42068099975586,0.38098321870064583,393216,-0.7534939646720886,3.7275898456573486,-18.42068099975586,3.703245162963867,,
2256248,x_kg,preprocessed,"(2, 1, 256, 256)",False,31.0,10.22296142578125,43224,0.0,30.0,7.0,31.0,"[0.0, 7.0, 9.0, 10.0, 15.0, 16.0, 27.0, 29.0, 30.0]","[7.0, 9.0, 10.0, 15.0, 16.0, 27.0, 29.0, 30.0, 31.0]"
2256248,x_static,preprocessed,"(6, 256, 256)",False,3.296881675720215,0.721856750443341,221429,-3.296881675720215,9.9710693359375,-2.188699245452881,9.9710693359375,,
2256248,x_hilda_prior,preprocessed,"(1, 256, 256)",False,6.0,1.59747314453125,40717,0.0,7.0,0.0,7.0,,
2256248,hilda_target,preprocessed,"(2, 256, 256)",False,6.0,1.5974960327148438,81434,0.0,7.0,0.0,7.0,"[0.0, 7.0]","[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]"
2717728,x_continuous,new,"(2, 15, 256, 256)",True,9.5367431640625e-07,6.455399178169804e-10,0,-18.42068099975586,6.646681785583496,-18.42068099975586,6.646681785583496,,
2717728,x_kg,new,"(2, 1, 256, 256)",False,31.0,16.384552001953125,69276,0.0,27.0,7.0,31.0,"[0.0, 7.0, 8.0, 9.0, 14.0, 15.0, 26.0, 27.0]","[7.0, 8.0, 9.0, 14.0, 15.0, 26.0, 27.0, 31.0]"
2717728,x_static,new,"(6, 256, 256)",False,1765.6182528734207,73.29126427492787,220370,-265.0,1767.0,-2.188634157180786,6.211329936981201,,
2717728,x_hilda_prior,new,"(1, 256, 256)",True,0.0,0.0,0,0.0,7.0,0.0,7.0,,
2717728,hilda_target,new,"(2, 256, 256)",True,0.0,0.0,0,0.0,7.0,0.0,7.0,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]","[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]"
2717728,x_continuous,preprocessed,"(2, 15, 256, 256)",False,18.42068099975586,0.43495911481926336,393216,-0.7534939646720886,6.647979259490967,-18.42068099975586,6.646681785583496,,
2717728,x_kg,preprocessed,"(2, 1, 256, 256)",False,31.0,16.384552001953125,69276,0.0,27.0,7.0,31.0,"[0.0, 7.0, 8.0, 9.0, 14.0, 15.0, 26.0, 27.0]","[7.0, 8.0, 9.0, 14.0, 15.0, 26.0, 27.0, 31.0]"
2717728,x_static,preprocessed,"(6, 256, 256)",False,3.296881675720215,0.9640641510488847,270891,-3.296881675720215,6.211329936981201,-2.188634157180786,6.211329936981201,,
2717728,x_hilda_prior,preprocessed,"(1, 256, 256)",False,6.0,1.419952392578125,30290,0.0,7.0,0.0,7.0,,
2717728,hilda_target,preprocessed,"(2, 256, 256)",False,6.0,1.4246673583984375,60580,0.0,7.0,0.0,7.0,"[0.0, 7.0]","[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]"
4348927,x_continuous,new,"(2, 15, 256, 256)",True,4.76837158203125e-07,7.787699966380993e-10,0,-0.6864386200904846,5.982138633728027,-0.6864386200904846,5.982138633728027,,
