source,path,wall_us,file_bytes
real,/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr/c4ann/14.10.51,23968.94,213690
real,/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr/primn/8.18.42,28572.77,694841
synth,/gpfs/scratch/bsc32/bsc096444/ai4land-tfm/tmp/synth_vs_real/synth/f27824,19109.69,319186
real,/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr/secdn/6.26.47,19414.16,4248
synth,/gpfs/scratch/bsc32/bsc096444/ai4land-tfm/tmp/synth_vs_real/synth/f844151,1044.99,4248
real,/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr/secdn/13.35.31,21390.43,4248
real,/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr/c3ann/13.25.11,18590.20,4248
real,/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr/LULC_states/6.17.64,23796.47,4914
real,/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr/c4per/10.25.22,13823.19,114613
real,/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr/number_of_people/15.28.25,12723.26,4248
synth,/gpfs/scratch/bsc32/bsc096444/ai4land-tfm/tmp/synth_vs_real/synth/f455673,16253.93,4472
real,/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr/secdf/1.2.53,22543.51,6496
real,/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr/primf/4.15.37,19318.09,4248
synth,/gpfs/scratch/bsc32/bsc096444/ai4land-tfm/tmp/synth_vs_real/synth/f249565,9585.97,4248
real,/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr/secdf/6.30.48,24751.29,4248
real,/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr/pastr/9.30.18,21821.38,4248
real,/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr/c3ann/5.28.34,17232.23,4248
synth,/gpfs/scratch/bsc32/bsc096444/ai4land-tfm/tmp/synth_vs_real/synth/f523481,15658.31,4248
real,/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr/primf/5.15.45,14735.56,4454
synth,/gpfs/scratch/bsc32/bsc096444/ai4land-tfm/tmp/synth_vs_real/synth/f455884,19595.31,4248
real,/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr/pastr/14.1.14,21294.28,4248
real,/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr/c3ann/1.10.66,31522.66,4248
real,/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr/secdf/11.20.30,25024.13,4248
synth,/gpfs/scratch/bsc32/bsc096444/ai4land-tfm/tmp/synth_vs_real/synth/f498216,12556.50,4248
real,/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr/c3nfx/9.20.49,20794.99,4248
synth,/gpfs/scratch/bsc32/bsc096444/ai4land-tfm/tmp/synth_vs_real/synth/f351470,19539.10,4248
synth,/gpfs/scratch/bsc32/bsc096444/ai4land-tfm/tmp/synth_vs_real/synth/f992842,309.09,94880
real,/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr/range/0.18.31,14697.70,4248
synth,/gpfs/scratch/bsc32/bsc096444/ai4land-tfm/tmp/synth_vs_real/synth/f442374,19600.88,8472
real,/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr/range/2.23.12,15440.03,4248
synth,/gpfs/scratch/bsc32/bsc096444/ai4land-tfm/tmp/synth_vs_real/synth/f419093,29079.90,4320
real,/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr/c3nfx/4.33.8,21559.48,4248
synth,/gpfs/scratch/bsc32/bsc096444/ai4land-tfm/tmp/synth_vs_real/synth/f964047,7200.29,310179
real,/gpfs/scratch/ehpc736/data/AI4LAND_NON_preprocessed-data-2000-2015.zarr/urban/3.16.10,10827.10,4248
