store,pass,worker,sample,wall_ms
A,1,6,84,539.30
A,1,6,85,514.07
A,1,6,86,543.55
A,1,6,87,577.36
A,1,6,88,424.40
A,1,6,89,581.87
A,1,6,90,610.85
A,1,6,91,561.88
A,1,6,92,560.43
A,1,6,93,488.88
A,1,6,94,574.81
A,1,6,95,475.27
A,1,6,96,525.84
A,1,6,97,596.75
A,1,6,98,597.29
A,1,6,99,666.89
A,1,7,0,734.74
A,1,7,1,810.67
A,1,7,2,739.71
A,1,7,3,842.83
A,1,7,4,764.55
A,1,7,5,837.23
A,1,7,6,602.66
A,1,7,7,869.07
A,1,7,8,710.35
A,1,7,9,825.25
A,1,7,10,738.55
A,1,7,11,765.74
A,1,7,12,827.72
A,1,7,13,732.63
A,1,7,14,661.29
A,1,7,15,708.63
A,1,7,16,819.78
A,1,7,17,759.43
A,1,7,18,699.32
A,1,7,19,739.41
A,1,7,20,702.53
A,1,7,21,868.29
A,1,7,22,628.79
A,1,7,23,636.06
A,1,7,24,586.11
A,1,7,25,774.21
A,1,7,26,650.78
A,1,7,27,647.96
A,1,7,28,685.02
A,1,7,29,760.61
A,1,7,30,661.55
A,1,7,31,720.92
A,1,7,32,686.97
A,1,7,33,611.20
A,1,7,34,691.76
A,1,7,35,635.66
A,1,7,36,769.65
A,1,7,37,729.27
A,1,7,38,648.14
A,1,7,39,612.47
A,1,7,40,603.75
A,1,7,41,721.60
A,1,7,42,583.08
A,1,7,43,648.80
A,1,7,44,716.42
A,1,7,45,699.38
A,1,7,46,580.12
A,1,7,47,750.22
A,1,7,48,688.15
A,1,7,49,766.29
A,1,7,50,734.31
A,1,7,51,762.60
A,1,7,52,645.59
A,1,7,53,590.59
A,1,7,54,650.11
A,1,7,55,636.62
A,1,7,56,592.56
A,1,7,57,625.67
A,1,7,58,655.74
A,1,7,59,2003.43
A,1,7,60,584.92
A,1,7,61,636.25
A,1,7,62,696.80
A,1,7,63,628.65
A,1,7,64,632.66
A,1,7,65,675.04
A,1,7,66,759.50
A,1,7,67,650.30
A,1,7,68,674.33
A,1,7,69,792.38
A,1,7,70,540.60
A,1,7,71,619.30
A,1,7,72,536.35
A,1,7,73,611.73
A,1,7,74,573.15
A,1,7,75,632.07
A,1,7,76,548.38
A,1,7,77,613.44
A,1,7,78,707.49
A,1,7,79,530.69
A,1,7,80,581.74
A,1,7,81,613.29
A,1,7,82,536.52
A,1,7,83,508.30
A,1,7,84,532.02
A,1,7,85,649.86
A,1,7,86,568.54
A,1,7,87,714.48
A,1,7,88,578.57
A,1,7,89,652.71
A,1,7,90,662.27
A,1,7,91,513.95
A,1,7,92,610.66
A,1,7,93,698.54
A,1,7,94,582.84
A,1,7,95,736.47
A,1,7,96,525.34
A,1,7,97,624.71
A,1,7,98,591.26
A,1,7,99,570.45
A,1,8,0,831.84
A,1,8,1,858.28
A,1,8,2,790.14
A,1,8,3,834.59
A,1,8,4,838.90
A,1,8,5,831.76
A,1,8,6,693.64
A,1,8,7,763.04
A,1,8,8,787.40
A,1,8,9,711.33
A,1,8,10,750.82
A,1,8,11,768.61
A,1,8,12,886.29
A,1,8,13,756.95
A,1,8,14,736.10
A,1,8,15,741.35
A,1,8,16,729.03
A,1,8,17,667.01
A,1,8,18,633.98
A,1,8,19,749.06
A,1,8,20,597.44
A,1,8,21,649.87
A,1,8,22,683.81
A,1,8,23,799.79
A,1,8,24,639.19
A,1,8,25,742.17
A,1,8,26,690.83
A,1,8,27,650.51
A,1,8,28,594.04
A,1,8,29,636.13
A,1,8,30,652.26
A,1,8,31,633.15
A,1,8,32,787.98
A,1,8,33,662.57
A,1,8,34,665.94
A,1,8,35,757.13
A,1,8,36,630.46
A,1,8,37,713.07
A,1,8,38,598.79
A,1,8,39,673.10
A,1,8,40,739.52
A,1,8,41,782.94
A,1,8,42,672.15
A,1,8,43,835.20
A,1,8,44,632.68
A,1,8,45,591.36
A,1,8,46,590.25
A,1,8,47,797.08
A,1,8,48,548.24
A,1,8,49,719.73
A,1,8,50,572.49
A,1,8,51,580.38
A,1,8,52,751.42
A,1,8,53,538.65
A,1,8,54,646.23
A,1,8,55,596.66
A,1,8,56,712.80
A,1,8,57,690.74
A,1,8,58,505.90
A,1,8,59,614.27
A,1,8,60,787.05
A,1,8,61,626.87
A,1,8,62,744.10
A,1,8,63,595.83
A,1,8,64,732.18
A,1,8,65,564.38
A,1,8,66,697.41
A,1,8,67,639.77
A,1,8,68,562.00
A,1,8,69,658.67
A,1,8,70,568.08
A,1,8,71,686.86
A,1,8,72,726.23
A,1,8,73,652.25
A,1,8,74,480.18
A,1,8,75,626.98
A,1,8,76,592.07
A,1,8,77,606.52
A,1,8,78,501.18
A,1,8,79,712.31
A,1,8,80,627.85
A,1,8,81,785.80
A,1,8,82,655.33
A,1,8,83,537.65
A,1,8,84,531.62
A,1,8,85,548.52
A,1,8,86,584.93
A,1,8,87,404.61
A,1,8,88,595.20
A,1,8,89,616.67
A,1,8,90,560.50
A,1,8,91,633.35
A,1,8,92,623.53
A,1,8,93,569.95
A,1,8,94,614.94
A,1,8,95,631.99
A,1,8,96,622.97
A,1,8,97,554.89
A,1,8,98,626.19
A,1,8,99,488.15
A,1,9,0,803.44
A,1,9,1,922.78
A,1,9,2,829.77
A,1,9,3,775.58
A,1,9,4,746.83
A,1,9,5,848.35
A,1,9,6,769.20
A,1,9,7,818.88
A,1,9,8,818.15
A,1,9,9,688.31
A,1,9,10,713.06
A,1,9,11,635.88
A,1,9,12,794.05
A,1,9,13,714.73
A,1,9,14,739.83
A,1,9,15,773.66
A,1,9,16,600.55
A,1,9,17,614.75
A,1,9,18,650.47
A,1,9,19,801.12
A,1,9,20,729.94
A,1,9,21,715.07
A,1,9,22,755.88
A,1,9,23,710.12
A,1,9,24,701.21
A,1,9,25,807.82
A,1,9,26,672.30
A,1,9,27,684.66
A,1,9,28,648.52
A,1,9,29,652.18
A,1,9,30,679.98
A,1,9,31,739.43
A,1,9,32,776.23
A,1,9,33,705.45
A,1,9,34,676.40
A,1,9,35,686.46
A,1,9,36,728.06
A,1,9,37,610.11
A,1,9,38,654.90
A,1,9,39,489.18
A,1,9,40,692.03
A,1,9,41,616.70
A,1,9,42,631.11
A,1,9,43,765.79
A,1,9,44,797.20
A,1,9,45,658.30
A,1,9,46,579.74
A,1,9,47,816.81
A,1,9,48,583.24
A,1,9,49,580.20
A,1,9,50,623.59
A,1,9,51,744.94
A,1,9,52,662.26
A,1,9,53,632.16
A,1,9,54,613.84
A,1,9,55,613.95
A,1,9,56,653.47
A,1,9,57,562.41
A,1,9,58,790.00
A,1,9,59,606.95
A,1,9,60,1369.86
A,1,9,61,706.76
A,1,9,62,493.76
A,1,9,63,638.18
A,1,9,64,675.52
A,1,9,65,631.21
A,1,9,66,654.60
A,1,9,67,559.68
A,1,9,68,555.36
A,1,9,69,579.45
A,1,9,70,524.32
A,1,9,71,668.27
A,1,9,72,551.47
A,1,9,73,485.58
A,1,9,74,629.41
A,1,9,75,743.12
A,1,9,76,545.13
A,1,9,77,551.84
A,1,9,78,569.11
A,1,9,79,641.64
A,1,9,80,550.44
A,1,9,81,687.00
A,1,9,82,652.12
A,1,9,83,687.00
A,1,9,84,581.42
A,1,9,85,581.92
A,1,9,86,555.16
A,1,9,87,611.19
A,1,9,88,612.94
A,1,9,89,526.99
A,1,9,90,553.13
