store,worker,sample,wall_ms
B,0,49,1.05
B,0,50,2.06
B,0,51,1.82
B,0,52,3.09
B,0,53,1.81
B,0,54,3.86
B,0,55,11.40
B,0,56,3.11
B,0,57,3.59
B,0,58,1.41
B,0,59,16.71
B,0,60,10.56
B,0,61,4.49
B,0,62,3.04
B,0,63,1.87
B,0,64,2.41
B,0,65,24.80
B,0,66,14.86
B,0,67,31.96
B,0,68,20.01
B,0,69,4.22
B,0,70,2.81
B,0,71,4.63
B,0,72,15.80
B,0,73,9.15
B,0,74,2.39
B,0,75,1.96
B,0,76,3.04
B,0,77,37.97
B,0,78,20.27
B,0,79,2.28
B,0,80,1.57
B,0,81,3.08
B,0,82,33.01
B,0,83,23.94
B,0,84,2.66
B,0,85,3.62
B,0,86,2.03
B,0,87,25.51
B,0,88,1.03
B,0,89,9.65
B,0,90,6.08
B,0,91,7.21
B,0,92,17.85
B,0,93,4.20
B,0,94,11.61
B,0,95,0.66
B,0,96,1.83
B,0,97,2.03
B,0,98,2.86
B,0,99,2.74
B,1,0,21.87
B,1,1,25.01
B,1,2,58.90
B,1,3,27.45
B,1,4,5.10
B,1,5,6.63
B,1,6,6.38
B,1,7,7.89
B,1,8,7.27
B,1,9,17.32
B,1,10,11.89
B,1,11,21.13
B,1,12,33.54
B,1,13,23.36
B,1,14,22.60
B,1,15,14.42
B,1,16,62.40
B,1,17,11.90
B,1,18,4.11
B,1,19,14.05
B,1,20,4.42
B,1,21,3.13
B,1,22,4.41
B,1,23,6.95
B,1,24,4.23
B,1,25,5.41
B,1,26,2.83
B,1,27,3.00
B,1,28,2.59
B,1,29,2.19
B,1,30,7.04
B,1,31,11.75
B,1,32,14.27
B,1,33,14.69
B,1,34,30.30
B,1,35,14.33
B,1,36,18.21
B,1,37,11.89
B,1,38,21.72
B,1,39,7.72
B,1,40,11.17
B,1,41,3.82
B,1,42,1.97
B,1,43,1.25
B,1,44,4.95
B,1,45,0.94
B,1,46,2.34
B,1,47,2.87
B,1,48,1.85
B,1,49,3.80
B,1,50,2.60
B,1,51,3.12
B,1,52,1.65
B,1,53,9.05
B,1,54,20.40
B,1,55,26.39
B,1,56,14.22
B,1,57,5.91
B,1,58,4.94
B,1,59,1.37
B,1,60,2.51
B,1,61,2.95
B,1,62,2.41
B,1,63,3.21
B,1,64,2.69
B,1,65,4.13
B,1,66,3.79
B,1,67,2.37
B,1,68,7.79
B,1,69,6.24
B,1,70,2.71
B,1,71,2.59
B,1,72,16.04
B,1,73,5.82
B,1,74,5.98
B,1,75,2.33
B,1,76,28.65
B,1,77,1.94
B,1,78,26.96
B,1,79,4.38
B,1,80,5.21
B,1,81,3.44
B,1,82,1.85
B,1,83,2.27
B,1,84,2.94
B,1,85,26.04
B,1,86,4.22
B,1,87,11.36
B,1,88,20.32
