dataset,sample_idx,var,n_chunks
single,42,range,8
single,42,primn,8
single,42,primf,8
single,42,pastr,8
single,42,c4per,8
single,42,c4ann,8
single,42,c3per,8
single,42,urban,8
single,42,secma,8
single,42,c3nfx,8
single,42,secmb,8
single,42,secdn,8
single,42,c3ann,8
single,42,number_of_people,8
single,42,kg_class,8
single,42,weighted_PCT_SAND,4
single,42,weighted_PCT_CLAY,4
single,42,weighted_ORGANIC,4
single,42,ASPECT,4
single,42,SLOPE,4
single,42,elevation,4
single,42,LULC_states,12
single,43,range,4
single,43,primn,4
single,43,secdf,4
single,43,primf,4
single,43,pastr,4
single,43,c4per,4
single,43,c4ann,4
single,43,c3per,4
single,43,urban,4
single,43,secmb,4
single,43,secma,4
single,43,c3nfx,4
single,43,secdn,4
single,43,c3ann,4
single,43,number_of_people,4
single,43,kg_class,4
single,43,weighted_PCT_SAND,2
single,43,weighted_PCT_CLAY,2
single,43,weighted_ORGANIC,2
single,43,SLOPE,2
single,43,elevation,2
single,43,ASPECT,2
single,43,LULC_states,6
single,44,secdf,4
single,44,range,4
single,44,primn,4
single,44,primf,4
single,44,c4per,4
single,44,c4ann,4
single,44,pastr,4
single,44,urban,4
single,44,c3per,4
single,44,secmb,4
single,44,secma,4
single,44,secdn,4
single,44,c3nfx,4
single,44,c3ann,4
single,44,number_of_people,4
single,44,kg_class,4
single,44,weighted_PCT_SAND,2
single,44,weighted_PCT_CLAY,2
single,44,weighted_ORGANIC,2
single,44,SLOPE,2
single,44,elevation,2
single,44,ASPECT,2
single,44,LULC_states,6
single,45,secdf,2
single,45,primn,2
single,45,range,2
single,45,primf,2
single,45,c4per,2
single,45,pastr,2
single,45,urban,2
single,45,c3per,2
single,45,c4ann,2
single,45,secma,2
single,45,secmb,2
single,45,secdn,2
single,45,c3nfx,2
single,45,c3ann,2
single,45,number_of_people,2
single,45,kg_class,2
single,45,weighted_PCT_SAND,1
single,45,weighted_PCT_CLAY,1
single,45,SLOPE,1
single,45,weighted_ORGANIC,1
single,45,elevation,1
single,45,ASPECT,1
single,45,LULC_states,3
single,46,secdf,4
single,46,range,4
single,46,primn,4
single,46,primf,4
single,46,pastr,4
single,46,c4ann,4
