pool_size,file_size,file_index,wall_us
10000,102400,1347,133.08
1000,1048576,118,754.94
10000,10240,8538,113.71
10000,1048576,833,743.25
10000,102400,4026,159.35
10000,102400,665,123.54
10000,102400,5291,127.58
10000,10240,9368,106.44
1000,10240,539,111.31
10000,102400,1408,127.61
10000,10240,368,104.73
10000,102400,143,121.73
10000,102400,7416,124.28
10000,1048576,5939,760.46
10000,1048576,7010,620.03
10000,10240,5189,111.23
1000,10240,503,113.36
10000,10240,7229,105.75
10000,102400,5089,123.11
10000,102400,8403,126.13
10000,1048576,2793,771.11
10000,102400,3038,138.93
10000,10240,2854,109.18
10000,1048576,4735,558.52
10000,102400,875,134.78
10000,1048576,5519,547.46
1000,10240,798,113.36
10000,102400,5051,132.53
10000,10240,9331,110.32
10000,1048576,7940,784.39
10000,10240,3914,117.67
10000,1048576,5955,552.32
10000,1048576,8988,763.99
10000,102400,1260,143.91
10000,10240,54,120.92
10000,1048576,5471,734.69
10000,10240,5036,117.81
10000,1048576,3783,707.40
10000,10240,5831,160.51
10000,102400,4266,227.57
10000,1048576,8288,755.62
100,1048576,98,856.67
1000,10485760,467,3379.82
10000,102400,4402,141.78
1000,1048576,76,734.70
10000,1048576,1686,586.66
10000,1048576,114,561.42
10000,10240,6600,116.66
10000,10240,5971,111.50
10000,10240,7479,102.66
1000,10485760,186,3201.86
10000,1048576,6683,704.83
10000,10240,3629,118.55
10000,10240,2070,104.17
1000,10485760,712,3964.53
1000,102400,481,146.51
10000,1048576,9466,589.12
10000,10240,1008,120.24
10000,1048576,9089,592.23
10000,102400,7110,134.09
10000,10240,2042,108.00
10000,1048576,6370,714.01
10000,10240,394,115.78
1000,10240,179,115.00
10000,102400,560,125.09
10000,10240,2918,106.88
10000,1048576,5911,795.13
10000,10240,4,114.17
10000,102400,5794,145.07
10000,10240,8219,113.27
10000,10240,6878,155.52
10000,10240,6169,116.65
10000,10240,9323,109.56
10000,10240,8670,137.81
10000,102400,5700,146.24
10000,102400,6845,128.85
1000,102400,260,141.11
10000,1048576,4361,622.36
1000,1048576,125,736.47
10000,1048576,6330,544.23
10000,1048576,1512,642.70
10000,102400,8069,130.43
10000,1048576,8927,704.13
1000,10485760,678,3966.46
10000,102400,4508,157.63
1000,102400,770,125.63
10000,10240,4992,114.55
1000,102400,660,202.16
1000,10485760,962,3873.67
10000,102400,2530,146.16
10000,10240,7623,106.02
10000,10240,2909,105.92
10000,102400,9259,137.76
10000,10240,3004,105.52
10000,1048576,6857,797.85
10000,102400,3905,172.36
10000,10240,5066,106.84
10000,1048576,6495,717.04
10000,1048576,7639,765.21
10000,102400,7726,129.75
1000,102400,141,118.90
10000,1048576,3959,736.51
10000,102400,4690,132.69
1000,10240,212,109.78
10000,102400,3913,122.36
10000,102400,9457,121.21
10000,1048576,8842,788.34
10000,1048576,8540,564.06
10000,102400,1350,133.76
10000,1048576,171,719.80
10000,1048576,2280,669.94
10000,10240,5898,108.28
10000,10240,698,104.91
10000,10240,2306,101.69
10000,102400,5445,123.11
10000,1048576,6691,839.71
10000,10240,9811,114.79
10000,10240,209,116.84
10000,10240,3532,107.05
10000,102400,9649,122.19
10000,102400,8571,117.03
1000,10485760,743,1928.46
10000,102400,6673,142.26
1000,102400,525,128.13
10000,102400,7471,127.88
10000,10240,4146,108.33
10000,1048576,4408,800.64
10000,10240,9953,115.48
10000,102400,111,119.33
1000,1048576,787,1103.45
10000,102400,2229,132.31
10000,1048576,3842,674.66
10000,10240,8562,103.14
10000,1048576,1485,608.78
10000,1048576,6494,722.90
10000,10240,6082,112.75
10000,1048576,7996,706.88
1000,10485760,375,4113.50
10000,1048576,8299,930.24
10000,102400,8536,123.72
10000,102400,1456,103.65
10000,1048576,6708,1078.19
1000,10485760,189,10118.61
10000,10240,3290,229.38
1000,10485760,758,9372.16
10000,10240,7258,116.24
10000,102400,237,117.75
10000,10240,847,134.34
10000,1048576,9649,745.96
10000,10240,145,206.89
10000,1048576,6814,725.81
10000,1048576,2884,507.76
10000,10240,8454,103.98
10000,10240,1557,235.25
1000,1048576,297,769.84
10000,10240,6887,110.81
10000,10240,9668,105.91
10000,10240,6869,145.64
10000,10240,6547,103.88
10000,102400,5088,122.47
10000,1048576,859,804.12
10000,1048576,7203,733.16
10000,1048576,1726,553.97
10000,10240,6813,111.55
10000,1048576,3779,779.00
10000,1048576,3023,778.42
10000,1048576,4204,714.68
10000,10240,5874,111.73
10000,10240,7901,98.88
10000,10240,9202,101.00
10000,1048576,5999,747.82
10000,102400,246,128.19
10000,10240,48,100.40
10000,10240,9671,96.64
10000,1048576,1484,720.14
100,10485760,16,3903.57
10000,1048576,3665,729.81
10000,10240,4598,116.13
10000,1048576,1007,667.71
10000,1048576,2879,756.81
10000,102400,9168,121.83
10000,102400,9856,120.95
10000,1048576,4555,877.15
100,104857600,87,28528.43
10000,10240,6795,263.48
10000,1048576,5836,666.53
10000,10240,7315,133.31
10000,1048576,5359,566.42
10000,102400,4060,150.34
10000,102400,3635,124.43
10000,1048576,1846,917.53
10000,1048576,9971,761.72
10000,102400,6192,122.49
10000,102400,5833,120.61
10000,1048576,1657,724.51
10000,10240,936,118.30
10000,10240,7127,110.06
100,104857600,52,27268.12
10000,102400,6544,310.30
10000,102400,58,165.09
10000,10240,8579,130.83
10000,1048576,1787,882.32
10000,1048576,2776,690.36
10000,10240,4122,120.96
10000,10240,2511,115.83
10000,102400,3722,117.07
10000,102400,7280,116.79
10000,10240,134,105.16
1000,10485760,187,4699.95
10000,10240,3582,242.60
10000,1048576,6072,1079.86
10000,1048576,6277,744.52
10000,1048576,3485,953.43
10000,10240,1139,119.70
10000,102400,2382,118.51
10000,1048576,5829,932.06
10000,1048576,9073,521.83
10000,102400,4489,122.85
10000,1048576,2253,629.67
